date,year,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2023-08-19,2023,Kurt Holobaugh,Austin Hubbard,Austin Hubbard,0.7267026124200178,0.6037569709421778,0.12294564147783993,35.84,1.5882352941176472,False,-35.84,1158.7433553114097
2023-11-11,2023,Diego Lopes,Pat Sabatini,Pat Sabatini,0.6752229350679013,0.5427435387673957,0.13247939630050565,34.76,1.7692307692307692,False,-34.76,1123.9833553114097
2023-11-11,2023,Jiri Prochazka,Alex Pereira,Alex Pereira,0.6521072240426379,0.5203045685279188,0.13180265551471904,33.72,1.8,True,26.976,1150.9593553114096
2024-01-20,2024,Sean Strickland,Dricus Du Plessis,Dricus Du Plessis,0.6348300981946455,0.5043297540699689,0.1305003441246766,34.53,1.8928571428571428,True,30.830357142857142,1181.7897124542667
2024-02-24,2024,Jesus Aguilar,Mateus Mendonca,Mateus Mendonca,0.6912994903132267,0.551441114716549,0.1398583755966777,35.45,1.7407407407407407,False,-35.45,1146.3397124542666
2024-03-16,2024,Tai Tuivasa,Marcin Tybura,Marcin Tybura,0.6390360230154606,0.4826358742837299,0.1564001487317307,34.39,1.9803921568627447,True,33.71568627450979,1180.0553987287765
2024-03-23,2024,Kurt Holobaugh,Trey Ogden,Trey Ogden,0.6789629993388524,0.5324675324675325,0.14649546687131987,35.4,1.8,True,28.32,1208.3753987287764
2024-03-30,2024,Dennis Buzukja,Connor Matthews,Connor Matthews,0.6108022551061791,0.4826358742837299,0.12816638082244924,36.25,1.9803921568627447,False,-36.25,1172.1253987287764
2024-09-14,2024,Irene Aldana,Norma Dumont,Norma Dumont,0.6751406383958882,0.5427435387673957,0.13239709962849255,35.16,1.7692307692307692,True,27.046153846153842,1199.1715525749303
2024-09-28,2024,Ion Cutelaba,Ivan Erslan,Ion Cutelaba,0.609250521852841,0.4826358742837299,0.12661464756911112,35.98,1.9803921568627447,True,35.27450980392155,1234.4460623788518
2024-10-05,2024,Austin Hubbard,Alexander Hernandez,Alexander Hernandez,0.6380383556288218,0.4956702459300312,0.14236810969879066,37.03,1.925925925925926,True,34.287037037037045,1268.7330994158888
2024-10-05,2024,Jose Aldo,Mario Bautista,Mario Bautista,0.6890660884034909,0.5260865852617197,0.16297950314177123,38.06,1.819672131147541,True,31.19672131147541,1299.9298207273641
2024-12-07,2024,Chris Weidman,Eryk Anders,Eryk Anders,0.6163635658281339,0.4956702459300312,0.12069331989810272,39.0,1.925925925925926,True,36.111111111111114,1336.0409318384752
