Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Derek Anderson,19ba965651486013,Barbaric,6.0,155.0,,Orthodox,14,3,0,False
Megan Anderson,a0e75f4a13eb73f1,No Nickname,6.0,145.0,72.0,Orthodox,11,5,0,False
Liam Anderson,b03a0c78ca45facf,No Nickname,6.3,185.0,75.0,Orthodox,6,3,0,False
Tatsuya Ando,17615148dd4be6f6,Kirinji,5.4,145.0,68.0,Southpaw,14,4,1,False
Alex Andrade,1562b12763cc8d67,El Toro,5.11,200.0,,Orthodox,10,5,0,False
Jessica Andrade,6a1901c62ab3870f,Bate Estaca,5.1,115.0,62.0,Orthodox,26,15,0,False
Viscardi Andrade,d221ee27afc7a60e,No Nickname,5.11,170.0,75.0,Orthodox,19,6,0,False
Jermaine Andre,9bad58fa651d6196,No Nickname,5.7,200.0,,Orthodox,14,4,0,False
Fellipe Andrew,7977fb0fd9c5955d,No Nickname,,,,Orthodox,0,0,0,False
Dylan Andrews,00debc804e2b1cd4,The Villain,6.1,185.0,74.0,Switch,18,7,0,False
Reese Andy,46e2ca71fd5089cb,Riptide,6.0,205.0,,Orthodox,7,3,0,False
 Angga,d6a3e131ad4ba064,The Hitman,5.7,145.0,68.0,Orthodox,13,3,0,False
Julius Anglickas,e20ad078a7d63361,No Nickname,6.3,205.0,,Orthodox,5,1,0,False
Collin Anglin,047a91d3d9c79b05,No Nickname,5.9,145.0,71.0,Orthodox,8,3,0,False
Chad Anheliger,c7c39e2fb70248b3,The Monster,5.6,135.0,64.0,Orthodox,13,8,0,False
Yoji Anjo,e06fd1260ac865a7,Mr. 200%,5.11,205.0,,Orthodox,0,5,1,False
Magomed Ankalaev,d802174b0c0c1f4e,No Nickname,6.3,205.0,75.0,Orthodox,21,2,1,False
Gadzhimurad Antigulov,af997f7611673880,No Nickname,5.11,205.0,70.0,Orthodox,20,8,0,False
Adam Antolin,25b31165758402dd,Captain Chaos,5.5,125.0,63.0,Orthodox,12,3,0,False
Angelo Antonio,dbd198f780286aca,No Nickname,,205.0,,Orthodox,1,4,0,False
Vanilto Antunes,cc49ada1ea955b13,No Nickname,6.0,170.0,72.0,Orthodox,16,7,0,False
Azunna Anyanwu,78d48d3874dacafd,Zulu,6.1,251.0,,Orthodox,14,5,0,False
Shinsho Anzai,4665f9f909cd7214,Animal,5.7,170.0,70.0,Orthodox,10,3,0,False
Jin Aoi,031da10a00c8ccd4,No Nickname,5.6,145.0,68.0,Orthodox,14,6,1,False
Shinya Aoki,79ded75550efc139,Tobikan Judan,5.11,154.0,,Southpaw,39,7,0,False
 Aoriqileng,7d420039bbfe7c1a,The Mongolian Murderer,5.7,135.0,69.0,Orthodox,26,12,0,False
Josh Appelt,0c1a04afca64e38f,No Nickname,5.1,255.0,,Southpaw,15,7,0,False
Erik Apple,1ccff7f0cfdf85eb,No Nickname,6.0,170.0,,Orthodox,10,3,0,False
Kenji Arai,269d103c96a4c3a5,No Nickname,5.1,145.0,,Southpaw,15,15,5,False
Romie Aram,73ef22f25d0f70e2,No Nickname,5.1,170.0,,Orthodox,7,1,0,False
Felipe Arantes,71002dbc1743b9a7,Sertanejo,5.8,135.0,73.0,Orthodox,18,10,1,False
Igor Araujo,dbea8c1cb327ab3d,No Nickname,6.1,170.0,77.0,Orthodox,25,9,0,False
Viviane Araujo,36541f1e6c5d4955,Vivi,5.4,125.0,68.0,Orthodox,13,7,0,False
Julio Arce,1291edf2d566a71a,No Nickname,5.7,145.0,70.0,Southpaw,19,6,0,False
Art Arciniega,d25e39e74efb0a77,King Arthur,5.8,145.0,,Orthodox,15,7,0,False
Alice Ardelean,87f8699fdcc2c404,No Nickname,5.3,115.0,62.0,Orthodox,11,7,0,False
