Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
b12fb759e02378de,Gilbert Urbina,The RGV Bad Boy,6.3,170.0,Orthodox,7,5,0,False,1.5,315.0,0.75,24.0,0.5,0.0,43.75,0.55,0.48,0.48,1.0,0.5,0.32,0.65,0.0,0.0,Welterweight,Male,Hybrid
c34e5849184b08c3,Yasuhiro Urushitani,No Nickname,5.5,125.0,Southpaw,21,8,6,False,2.5,605.5,0.0,42.5,0.0,0.0,13.5,0.39,0.32,0.72,0.42,0.39,0.12,0.5,0.0,0.0,Flyweight,Male,Hybrid
f1b2aa7853d1ed6e,Kamaru Usman,The Nigerian Nightmare,6.0,170.0,Switch,21,4,0,False,3.74,1070.37,0.53,59.21,2.53,0.32,323.79,0.53,0.43,0.77,0.76,0.4,0.69,0.74,0.32,0.05,Welterweight,Male,Striker
da7f113b5ea39c43,Mohammed Usman,The Motor,6.2,239.0,Orthodox,12,4,0,False,2.83,806.0,0.17,51.17,0.83,0.0,162.5,0.41,0.34,0.89,0.45,0.38,0.64,0.46,0.0,0.0,Heavyweight,Male,Striker
6546af7ab545b90c,Darren Uyenoyama,BC,5.6,125.0,Orthodox,10,6,0,False,2.5,727.0,0.0,15.0,1.0,0.5,194.25,0.31,0.22,0.4,0.87,0.29,0.67,0.34,0.5,0.5,Flyweight,Male,Wrestler
54578e5927adea53,Richie Vaculik,Vas,5.6,125.0,Orthodox,10,4,0,False,2.5,675.25,0.25,43.75,4.0,0.5,301.75,0.51,0.43,0.88,0.42,0.43,0.75,0.88,0.5,1.0,Flyweight,Male,Wrestler
cda1099995b46cc2,Genaro Valdez,Rayadito,5.9,155.0,Orthodox,10,3,0,False,2.33,665.0,0.33,41.0,0.0,0.0,3.67,0.28,0.23,0.37,0.61,0.27,0.46,0.33,0.0,0.0,Lightweight,Male,Hybrid
8a0be41c0380188d,Charlie Valencia,No Nickname,5.3,135.0,Orthodox,12,7,0,False,1.0,90.0,0.0,5.0,0.0,0.0,0.0,0.5,0.25,1.0,0.33,0.29,1.0,0.0,0.0,0.0,Bantamweight,Male,Hybrid
0cd0456d6029cec2,Robert Valentin,Robzilla,6.2,185.0,Orthodox,11,6,0,False,2.0,459.67,0.0,22.33,0.33,0.33,100.33,0.59,0.56,0.56,0.67,0.39,0.29,0.61,0.33,0.67,Middleweight,Male,Striker
45e738622ea2c02c,Timur Valiev,Lucky,5.6,135.0,Orthodox,18,3,0,False,2.75,779.75,0.75,65.5,1.5,0.25,221.5,0.6,0.5,0.72,0.92,0.57,0.92,0.4,0.25,0.0,Bantamweight,Male,Striker
663b76da637402c3,Victor Valimaki,The Matrix,6.0,205.0,Orthodox,18,10,0,False,2.0,502.0,0.0,33.0,0.5,0.0,32.0,0.16,0.12,0.31,0.4,0.14,0.24,0.28,0.0,0.0,Light Heavyweight,Male,No Clear Style
239d8e5359022f3b,Kevin Vallejos,El Chino,5.7,145.0,Switch,16,1,0,False,2.0,544.5,0.0,42.5,0.5,0.0,11.0,0.39,0.29,0.42,0.6,0.39,0.12,0.0,0.0,0.0,Featherweight,Male,Hybrid
c295de4e10acd4c9,Isaac Vallie-Flagg,No Nickname,5.8,155.0,Orthodox,16,7,1,False,3.0,900.0,0.25,81.5,1.5,0.0,314.25,0.56,0.47,0.82,0.86,0.48,0.78,0.68,0.0,0.0,Lightweight,Male,Striker
